id,name,product,tvl_usd,est_apr_percent,featured,curator,chain,description
cb2c03af-2066-4120-8ab7-796b8c8eec45, kpk EURC Yield,Lending,109860.20227959,0.6203,false,kpk,Ethereum,Morpho kpk_EURC_Yield vault on Ethereum
ad7dd09c-3ac5-4f3b-9c99-badda5774cc5, kpk USDC Prime,Lending,47851.87514815,0.6323,false,kpk,Ethereum,Morpho kpk_USDC_Prime vault on Ethereum
ca1ee21a-d8ab-4b4d-a575-7284a5c33803, Usual Boosted USDC,Lending,4951500.7791061,4.0312,false,MEV Capital,Ethereum,Morpho USUALUSDC+ vault on Ethereum
7d43d2f9-7f52-477d-83dc-0516226795f4,246Club TelosC Earn USDT0,Vault,30938.22882797,11.6422,false,Telos,Plasma,
e43a35f9-07fe-4be4-9b75-e518d7585a16,3F x Steakhouse USDC,Lending,7235103.31336851,3.4205,false,Steakhouse,Ethereum,Morpho 3F-steakUSDC vault on Ethereum
cb7fa065-b0f9-4df0-b963-b716eddb7497,9Summits Cluster,Lending,816382.89893287,10.3506,false,9Summits,Avalanche,A set of Avalanche markets configured by 9 Summits.
93cfce07-c4e5-4cdd-ad4f-3b058fcfec38,9Summits Cluster,Lending,94801.57745645,0,false,9Summits,Avalanche,A set of Avalanche markets configured by 9 Summits.
06967f9a-193f-47b3-a52b-fce9e162b773,9Summits Cluster,Lending,2656058.26870857,0,false,9Summits,Avalanche,A set of Avalanche markets configured by 9 Summits.
eb11d514-7b7f-48e0-8833-c077ccb24e81,9Summits USDC,Vault,679633.63574531,10.3506,false,9Summits,Avalanche,
abaae3b6-1641-4ad3-846e-d1a1c4f9e2f6,Aave V3 Arbitrum AAVE,Lending,1287793.9566088,0,false,Aave,Arbitrum,Lend AAVE on Aave V3 Arbitrum.
ae8f97d4-83a0-4746-819e-9d04ef1792d5,Aave V3 Arbitrum ARB,Lending,4906461.25911718,0.0963,false,Aave,Arbitrum,Lend ARB on Aave V3 Arbitrum.
6c0d4e0c-6f86-4d31-8380-b312ea99cc69,Aave V3 Arbitrum DAI,Lending,3868538.01774655,2.2711,false,Aave,Arbitrum,Lend DAI on Aave V3 Arbitrum.
bf7b6114-6d30-4a5c-902e-c24028f99de5,Aave V3 Arbitrum ezETH,Lending,203318.94544428,0,false,Aave,Arbitrum,Lend ezETH on Aave V3 Arbitrum.
d1065bc0-6963-4040-9b30-162c037915b1,Aave V3 Arbitrum GHO,Lending,1371116.2125905,10.059,false,Aave,Arbitrum,Lend GHO on Aave V3 Arbitrum.
0917b89d-d0da-4ea0-895e-131ce16ea101,Aave V3 Arbitrum LINK,Lending,4294268.11690591,0.015,false,Aave,Arbitrum,Lend LINK on Aave V3 Arbitrum.
a5bc0aac-2027-48f1-bb07-15f8e8b15276,Aave V3 Arbitrum MAI,Lending,15429.03833499,0,false,Aave,Arbitrum,Lend MAI on Aave V3 Arbitrum.
8bbdd224-ae9d-4eda-8d7d-0cf431547992,Aave V3 Arbitrum rETH,Lending,2262021.30923327,0.0081,false,Aave,Arbitrum,Lend rETH on Aave V3 Arbitrum.
a3801db3-fa68-4377-b7fd-547bfb1895c9,Aave V3 Arbitrum rsETH,Lending,60179086.84997294,0,false,Aave,Arbitrum,Lend rsETH on Aave V3 Arbitrum.
879a4e34-7862-44ab-843d-ce5fe7f83a5c,Aave V3 Arbitrum tBTC,Lending,2084863.08424386,0,false,Aave,Arbitrum,Lend tBTC on Aave V3 Arbitrum.
4ba18ed0-09af-4d27-beb1-3f2887af36db,Aave V3 Arbitrum USD₮0,Lending,52599429.54918249,3.0633,false,Aave,Arbitrum,Lend USD₮0 on Aave V3 Arbitrum.
fda1fe51-e5ae-4a75-8d25-fec195d4f90b,Aave V3 Arbitrum USDC,Lending,166370266.056482,3.1818,false,Aave,Arbitrum,Lend USDC on Aave V3 Arbitrum.
b86babf1-7472-4b7b-b500-99b76eddbfa0,Aave V3 Arbitrum USDC,Lending,1246676.754078,3.6622,false,Aave,Arbitrum,Lend USDC on Aave V3 Arbitrum.
670f2b05-b474-44fc-ad3c-ab0a2eaf8e48,Aave V3 Arbitrum WBTC,Lending,211634825.82822224,0.0472,false,Aave,Arbitrum,Lend WBTC on Aave V3 Arbitrum.
53b51b27-b6d5-461d-83b5-064de8227e3a,Aave V3 Arbitrum weETH,Lending,110654988.24358734,0,false,Aave,Arbitrum,Lend weETH on Aave V3 Arbitrum.
c16e90c1-22e0-4e9c-9cb1-836fa67ec640,Aave V3 Arbitrum WETH,Lending,251066680.999195,0.7578,false,Aave,Arbitrum,Lend WETH on Aave V3 Arbitrum.
d7edd1c0-ad91-4903-aaf0-a4d2d9784b35,Aave V3 Arbitrum wstETH,Lending,54138402.19554479,0.0003,false,Aave,Arbitrum,Lend wstETH on Aave V3 Arbitrum.
76ca73a8-7c8c-41e9-b209-8fa2468538a4,Aave V3 Avalanche AAVE.e,Lending,171952.57891592,0,false,Aave,Avalanche,Lend AAVE.e on Aave V3 Avalanche.
ebf86138-b35d-4493-ae23-a82c29dce6ce,Aave V3 Avalanche AUSD,Lending,258457.04187196,3.0718,false,Aave,Avalanche,Lend AUSD on Aave V3 Avalanche.
c00233ce-1030-48d2-b3ab-59aa0731225c,Aave V3 Avalanche BTC.b,Lending,134208329.32816465,0.0015,false,Aave,Avalanche,Lend BTC.b on Aave V3 Avalanche.
af6c37a6-9499-4968-ae85-7a3e6e5729bb,Aave V3 Avalanche DAI.e,Lending,3493920.80501178,3.4124,false,Aave,Avalanche,Lend DAI.e on Aave V3 Avalanche.
1e599903-d244-40eb-8fcf-85900e7734c5,Aave V3 Avalanche EURC,Lending,643102.24658589,4.3824,false,Aave,Avalanche,Lend EURC on Aave V3 Avalanche.
803f358b-4bb8-4a7c-9f64-42dfcc9c44d9,Aave V3 Avalanche GHO,Lending,1842129.84138355,7.7648,false,Aave,Avalanche,Lend GHO on Aave V3 Avalanche.
3578346d-70f5-4f43-b134-b1979e76685b,Aave V3 Avalanche LINK.e,Lending,1048334.8202698,0.0052,false,Aave,Avalanche,Lend LINK.e on Aave V3 Avalanche.
2059b16e-0690-4e88-8206-a90e952d6d8f,Aave V3 Avalanche sAVAX,Lending,94889851.42974137,0,false,Aave,Avalanche,Lend sAVAX on Aave V3 Avalanche.
00c76b2b-5a33-4891-918b-0c119bbb633b,Aave V3 Avalanche sUSDe,Lending,28377.05330958,0,false,Aave,Avalanche,Lend sUSDe on Aave V3 Avalanche.
20d860a6-5c4b-4925-a66a-6de188cc09c8,Aave V3 Avalanche USDC,Lending,77075249.774695,5.5451,false,Aave,Avalanche,Lend USDC on Aave V3 Avalanche.
991ba495-c113-4174-9b06-113d5028bbcf,Aave V3 Avalanche USDe,Lending,5557.79278543,2.3157,false,Aave,Avalanche,Lend USDe on Aave V3 Avalanche.
9c6f4c5d-090b-4d99-bb11-4b8cfdf93fea,Aave V3 Avalanche USDt,Lending,30791511.0933243,5.5796,false,Aave,Avalanche,Lend USDt on Aave V3 Avalanche.
b1ff7838-2c7f-4f19-ad69-3cdbeb9534c4,Aave V3 Avalanche WAVAX,Lending,164731015.12258133,1.1604,false,Aave,Avalanche,Lend WAVAX on Aave V3 Avalanche.
00f5bd77-4468-41a7-b1aa-990e73fc574f,Aave V3 Avalanche WBTC.e,Lending,3285151.7586524,0.0904,false,Aave,Avalanche,Lend WBTC.e on Aave V3 Avalanche.
8ebbcdfb-f049-4649-9397-aaa6c5b839f5,Aave V3 Avalanche WETH.e,Lending,27899033.70025518,1.4889,false,Aave,Avalanche,Lend WETH.e on Aave V3 Avalanche.
699ce344-f0db-4158-bdd7-31725a5d0b91,Aave V3 Avalanche wrsETH,Lending,219.6188494,0,false,Aave,Avalanche,Lend wrsETH on Aave V3 Avalanche.
de28b80e-1413-489b-84db-aeb47eabf349,Aave V3 Base AAVE,Lending,289959.49063599,0,false,Aave,Base,Lend AAVE on Aave V3 Base.
d2055089-ac07-497e-8200-ccaf57ee84c1,Aave V3 Base cbBTC,Lending,165596717.97325298,0.0218,false,Aave,Base,Lend cbBTC on Aave V3 Base.
9457da29-9a97-4ccf-bc25-bdf69e22e082,Aave V3 Base cbETH,Lending,9787405.31520244,0.0431,false,Aave,Base,Lend cbETH on Aave V3 Base.
9f02103e-7849-44c0-8ee7-5626c44d4d85,Aave V3 Base EURC,Lending,10409889.73406148,1.8135,false,Aave,Base,Lend EURC on Aave V3 Base.
bfddaee4-8ef2-4ef2-8cfc-249d65b9271d,Aave V3 Base ezETH,Lending,65635.51712885,0,false,Aave,Base,Lend ezETH on Aave V3 Base.
1cf35e6d-4daf-449e-9b62-6afd2e23811b,Aave V3 Base GHO,Lending,2126940.42350752,4.6837,false,Aave,Base,Lend GHO on Aave V3 Base.
fd552a16-557c-4979-ae02-6faa2f77c9fb,Aave V3 Base LBTC,Lending,1988130.37150076,0,false,Aave,Base,Lend LBTC on Aave V3 Base.
5bbb3f64-18bd-4b3e-b4d1-090cf7267272,Aave V3 Base syrupUSDC,Lending,18805098.9302036,0,false,Aave,Base,Lend syrupUSDC on Aave V3 Base.
dfd7e2c3-e010-449a-b801-8b43f107623d,Aave V3 Base tBTC,Lending,416498.09620583,0.2046,false,Aave,Base,Lend tBTC on Aave V3 Base.
fd1994b1-1e75-4046-9a65-7cb22e5bab93,Aave V3 Base USDbC,Lending,475164.82198468,0.5066,false,Aave,Base,Lend USDbC on Aave V3 Base.
8dc4dd52-56e3-4b5a-9b4c-cb5cebcee8fe,Aave V3 Base USDC,Lending,183001114.182997,3.1794,false,Aave,Base,Lend USDC on Aave V3 Base.
8681d425-6421-413f-a640-949d286cc373,Aave V3 Base weETH,Lending,91970923.93618771,0,false,Aave,Base,Lend weETH on Aave V3 Base.
